Filename                                                                                    Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
include/coin/ClpEventHandler.hpp                                                                  2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
include/coin/ClpMatrixBase.hpp                                                                   26                26     0.00%          26                26     0.00%          74                74     0.00%           0                 0         -
include/coin/ClpModel.hpp                                                                        60                60     0.00%          60                60     0.00%         196               196     0.00%           0                 0         -
include/coin/ClpNode.hpp                                                                         13                13     0.00%          13                13     0.00%          39                39     0.00%           0                 0         -
include/coin/ClpObjective.hpp                                                                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
include/coin/ClpPackedMatrix.hpp                                                                 10                10     0.00%          10                10     0.00%          30                30     0.00%           0                 0         -
include/coin/ClpSimplex.hpp                                                                      56                56     0.00%          56                56     0.00%         172               172     0.00%           0                 0         -
include/coin/ClpSolve.hpp                                                                        29                29     0.00%          29                29     0.00%          97                97     0.00%           0                 0         -
include/coin/CoinBuild.hpp                                                                        5                 5     0.00%           5                 5     0.00%           5                 5     0.00%           0                 0         -
include/coin/CoinError.hpp                                                                       24                24     0.00%          11                11     0.00%          43                43     0.00%           6                 6     0.00%
include/coin/CoinHelperFunctions.hpp                                                             12                12     0.00%          12                12     0.00%         151               151     0.00%           0                 0         -
include/coin/CoinIndexedVector.hpp                                                               47                47     0.00%          47                47     0.00%          66                66     0.00%           0                 0         -
include/coin/CoinMessageHandler.hpp                                                              22                22     0.00%          22                22     0.00%          22                22     0.00%           0                 0         -
include/coin/CoinPackedMatrix.hpp                                                                17                17     0.00%          12                12     0.00%          27                27     0.00%           4                 4     0.00%
include/coin/CoinPackedVector.hpp                                                                24                23     4.17%          24                23     4.17%         170               169     0.59%           0                 0         -
include/coin/CoinPackedVectorBase.hpp                                                             2                 2     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
include/coin/CoinShallowPackedVector.hpp                                                          4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
include/coin/CoinSort.hpp                                                                         3                 3     0.00%           3                 3     0.00%          32                32     0.00%           0                 0         -
include/coin/CoinWarmStart.hpp                                                                    3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
include/coin/CoinWarmStartBasis.hpp                                                              12                 5    58.33%          12                 5    58.33%          26                 8    69.23%           0                 0         -
include/coin/OsiClpSolverInterface.hpp                                                           34                34     0.00%          34                34     0.00%          35                35     0.00%           0                 0         -
include/coin/OsiSolverInterface.hpp                                                              44                43     2.27%          44                43     2.27%         118               117     0.85%           0                 0         -
include/ogdf/augmentation/AugmentationModule.h                                                    8                 3    62.50%           7                 3    57.14%          13                 3    76.92%           0                 0         -
include/ogdf/augmentation/DfsMakeBiconnected.h                                                    2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
include/ogdf/augmentation/PlanarAugmentation.h                                                    2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
include/ogdf/augmentation/PlanarAugmentationFix.h                                                 2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
